bodyId	NT	NT_prob
10009	gaba	0.77607983
10012	unclear	0.33462203
10015	unclear	0.45683992
10016	unclear	0.3669221
10023	unclear	0.4687015
10025	acetylcholine	0.78933257
10027	gaba	0.7995485
10029	glutamate	0.78847593
10037	unclear	0.29784098
10042	unclear	0.0
10046	acetylcholine	0.90643233
10050	serotonin	0.7995595
10051	gaba	0.8028325
10052	gaba	0.74841905
10053	glutamate	0.7651786
10060	acetylcholine	0.9036968
10061	gaba	0.77429533
10063	unclear	0.4154476
10065	unclear	
10066	gaba	0.7570487
10067	acetylcholine	0.84546757
10068	octopamine	0.8274783
10072	octopamine	0.84175414
10077	gaba	0.6837209
10078	acetylcholine	0.8756013
10093	gaba	0.7577259
10100	octopamine	0.7482675
10102	glutamate	0.8375167
10106	unclear	0.43598196
10107	acetylcholine	0.8914948
10112	unclear	0.4897227
10114	glutamate	0.78396696
10121	acetylcholine	0.8567024
10125	glutamate	0.7876974
10143	octopamine	0.80849534
10150	dopamine	0.8384999
10170	glutamate	0.84338826
10178	glutamate	0.817649
10188	gaba	0.8277589
10189	glutamate	0.8278981
10190	glutamate	0.82856005
10206	unclear	0.48828393
10214	gaba	0.8228644
10222	acetylcholine	0.9080084
10231	dopamine	0.63753414
10237	unclear	
10250	dopamine	0.5729176
10255	acetylcholine	0.902074
10256	glutamate	0.8339968
10260	unclear	
10264	unclear	0.0
10266	dopamine	0.6585729
10269	octopamine	0.8791448
10272	glutamate	0.8329687
10275	acetylcholine	0.8561665
10278	serotonin	0.8053396
10284	dopamine	0.57163835
10286	acetylcholine	0.8785771
10293	gaba	0.6281192
10298	acetylcholine	0.8598705
10302	gaba	0.7115907
10303	glutamate	0.80940944
10308	gaba	0.6997916
10311	unclear	0.49761894
10312	glutamate	0.8354103
10314	acetylcholine	0.8649793
10317	glutamate	0.82566506
10322	octopamine	0.87537295
10327	unclear	
10330	acetylcholine	0.87881935
10335	dopamine	0.57805884
10337	gaba	0.77614397
10340	glutamate	0.7706329
10343	glutamate	0.7875836
10351	acetylcholine	0.5033367
10352	gaba	0.5842548
10353	unclear	
10358	acetylcholine	0.8660304
10367	glutamate	0.7994809
10372	dopamine	0.60225725
10387	acetylcholine	0.81102055
10399	unclear	
10403	unclear	0.3908962
10415	gaba	0.6102182
10428	acetylcholine	0.900551
10432	octopamine	0.7600822
10436	gaba	0.75529885
10439	dopamine	0.66597986
10440	unclear	
10441	gaba	0.63212943
10443	acetylcholine	0.8262156
10451	acetylcholine	0.8008065
10457	gaba	0.766975
10476	gaba	0.74874187
10477	gaba	0.8357779
10480	gaba	0.75345457
10481	gaba	0.5180387
10503	gaba	0.7737796
10508	unclear	0.39475903
10518	gaba	0.8552866
10529	unclear	0.0
10531	glutamate	0.7911961
10532	acetylcholine	0.82519233
10533	glutamate	0.7660281
10540	unclear	
10541	glutamate	0.7933865
10542	acetylcholine	0.90453297
10544	unclear	
10583	acetylcholine	0.8589388
10612	glutamate	0.7953277
10630	acetylcholine	0.9035332
10659	unclear	0.0
10661	unclear	0.0
10663	gaba	0.77944595
10668	unclear	0.0
10675	acetylcholine	0.78200483
10677	octopamine	0.87284124
10679	gaba	0.82803154
10682	acetylcholine	0.88911104
10687	octopamine	0.8099939
10693	unclear	0.8407832
10696	glutamate	0.8268639
10705	octopamine	0.6528328
10723	unclear	0.46855095
10729	unclear	0.60201514
10730	gaba	0.80833626
10755	unclear	0.48985758
10764	unclear	0.622814
10766	dopamine	0.5282401
10771	acetylcholine	0.67315227
10787	gaba	0.7285216
10803	unclear	0.76509035
10807	gaba	0.8282117
10809	acetylcholine	0.9185722
10818	glutamate	0.7809108
10825	octopamine	0.8120719
10836	acetylcholine	0.67038745
10839	glutamate	0.6800456
10843	gaba	0.85606146
10845	glutamate	0.67655736
10854	acetylcholine	0.7754181
10860	gaba	0.8647315
10865	glutamate	0.79180276
10870	octopamine	0.5678446
10882	glutamate	0.79404235
10886	unclear	0.0
10891	acetylcholine	0.8806597
10893	gaba	0.8193917
10896	glutamate	0.5038132
10901	acetylcholine	0.81920344
10902	unclear	
10907	glutamate	0.78266644
10914	dopamine	0.903371
10915	unclear	0.7060531
10927	unclear	0.0
10928	unclear	0.0
10950	gaba	0.8371566
10955	unclear	0.0
10956	gaba	0.7414448
10960	unclear	0.0
10974	glutamate	0.59622663
10995	unclear	0.0
11003	gaba	0.7810547
11009	gaba	0.82990533
11015	glutamate	0.80010086
11016	unclear	
11029	glutamate	0.77789867
11031	acetylcholine	0.8760429
11046	unclear	0.48244125
11055	unclear	0.68592757
11077	acetylcholine	0.8184467
11081	glutamate	0.83633536
11089	unclear	0.34154594
11103	unclear	
11106	gaba	0.75174695
11113	serotonin	0.8340233
11114	octopamine	0.5484759
11117	acetylcholine	0.8565329
11124	dopamine	0.5924334
11130	gaba	0.7361623
11134	unclear	0.4899462
11146	glutamate	0.79398537
11152	unclear	0.70774853
11153	acetylcholine	0.9258154
11155	acetylcholine	0.88520044
11157	unclear	0.9712991
11161	unclear	0.9712991
11169	unclear	0.4794999
11174	unclear	
11180	gaba	0.77006286
11188	glutamate	0.70718205
11202	unclear	0.69726866
11212	octopamine	0.56124157
11214	dopamine	0.9489716
11217	glutamate	0.57686526
11220	unclear	
11237	unclear	
11254	gaba	0.7885706
11260	acetylcholine	0.90800303
11264	unclear	0.44966453
11279	unclear	0.0
11291	acetylcholine	0.528888
11293	unclear	0.4560005
11296	octopamine	0.8643407
11312	glutamate	0.6950877
11319	gaba	0.6847749
11335	glutamate	0.51720685
11337	unclear	0.0
11341	unclear	
11344	acetylcholine	0.91887987
11346	unclear	0.4001195
11367	unclear	
11368	acetylcholine	0.90367293
11369	octopamine	0.7388862
11372	acetylcholine	0.8718955
11375	glutamate	0.82122964
11384	glutamate	0.8384282
11385	octopamine	0.8690936
11394	glutamate	0.6555165
11396	unclear	0.39092857
11401	unclear	0.0
11406	glutamate	0.8214207
11435	acetylcholine	0.9080834
11446	unclear	0.5233724
11454	acetylcholine	0.69303626
11463	unclear	0.87090915
11473	unclear	0.64807224
11485	glutamate	0.7781112
11502	unclear	
11507	unclear	0.9712991
11511	unclear	
11522	unclear	0.6480003
11551	unclear	0.43220565
11560	unclear	
11579	unclear	0.69552684
11586	acetylcholine	0.79542434
11595	unclear	0.5164882
11601	unclear	0.0
11602	unclear	0.46511304
11606	unclear	
11609	acetylcholine	0.85441387
11628	gaba	0.7997249
11641	glutamate	0.80984086
11658	acetylcholine	0.7849284
11665	acetylcholine	0.80869126
11669	unclear	0.3153212
11670	unclear	0.9712991
11684	unclear	0.41770503
11689	glutamate	0.66454804
11690	acetylcholine	0.76393646
11696	acetylcholine	0.79466647
11715	octopamine	0.6550353
11716	octopamine	0.68462104
11719	unclear	0.0
11727	unclear	
11762	unclear	
11769	acetylcholine	0.82733434
11773	unclear	0.45753124
11802	gaba	0.8237829
11806	dopamine	0.8342032
11807	glutamate	0.63736033
11812	acetylcholine	0.74295485
11819	unclear	0.0
11842	unclear	0.85718095
11843	acetylcholine	0.83575344
11852	glutamate	0.70417064
11853	glutamate	0.78772974
11855	octopamine	0.68316513
11858	octopamine	0.65985304
11887	unclear	0.64978063
11901	unclear	0.46513566
11903	unclear	
11905	unclear	
11907	unclear	0.92391866
11911	unclear	0.4316309
11918	acetylcholine	0.8036429
11926	unclear	0.72879803
11939	serotonin	0.6866465
11947	glutamate	0.8109044
11953	unclear	0.7305064
11958	unclear	
11959	unclear	
11962	unclear	
11981	gaba	0.7796442
11999	unclear	0.4756356
12011	unclear	0.45640483
12013	glutamate	0.85165393
12021	glutamate	0.58703786
12037	unclear	
12041	unclear	
12047	glutamate	0.62793624
12048	unclear	0.4704136
12067	dopamine	0.8137909
12070	unclear	0.616087
12078	glutamate	0.5672829
12087	unclear	0.40616855
12094	unclear	0.92504674
12099	glutamate	0.6217826
12105	acetylcholine	0.88100994
12112	acetylcholine	0.9190404
12125	unclear	
12140	glutamate	0.79391736
12145	acetylcholine	0.79715556
12149	gaba	0.83087975
12153	unclear	
12172	unclear	0.832912
12174	gaba	0.7963622
12181	unclear	0.0
12193	glutamate	0.51013666
12200	glutamate	0.51038575
12202	unclear	0.9124325
12204	glutamate	0.7111601
12211	unclear	0.8513636
12235	acetylcholine	0.92294735
12236	unclear	0.8570286
12240	gaba	0.84681684
12254	unclear	0.4758588
12289	unclear	
12295	unclear	0.83254206
